asset,row,tf,tp,conf,rr,sess,pf,win,trades_wk,c5374,c12654,cMNQ,is_pass,oos_pass,oos_days,risk,capped
MCL,13641,5min,opposite_level,reversal_cross_back,1.25,03:00-11:30,5.38,69.6,9.3,0.02,0.04,0.03,95.2,92.1,11,500,5.0
MCL,6256,5min,reversal_to_open,reversal_cross_back,1.5,03:00-15:00,5.28,61.6,4.9,0.05,0.03,0.05,95.2,96.0,18,500,13.5
MCL,17104,3min,reversal_to_open,reversal_cross_back,2.0,03:00-11:30,4.83,67.6,11.5,0.03,-0.03,0.11,94.7,90.5,15,500,1.8
MCL,22531,5min,reversal_to_open,immediate_break,1.5,05:00-14:00,5.0,69.6,9.6,0.02,0.02,0.0,94.7,92.1,12,500,4.0
MCL,7605,3min,opposite_level,reversal_cross_back,4.0,03:00-11:00,4.29,55.7,11.2,-0.01,-0.02,0.01,94.7,84.1,16,500,19.3
MCL,7751,5min,opposite_level,reversal_cross_back,2.0,03:00-11:30,3.93,62.2,11.8,0.01,-0.0,0.03,94.7,92.1,12,500,4.2
MCL,17550,5min,opposite_level,break_of_structure,1.5,03:00-11:00,6.19,76.6,3.8,0.02,0.07,-0.01,97.9,96.8,25,500,9.3
MCL,5416,5min,reversal_to_open,reversal_cross_back,1.25,05:00-15:00,4.59,72.1,7.8,-0.01,-0.01,-0.01,94.7,95.2,16,500,2.1
MCL,11707,5min,opposite_level,reversal_cross_back,2.5,03:00-11:00,5.53,58.7,4.0,-0.01,0.01,0.03,98.4,90.5,23,500,29.6
MCL,3457,5min,reversal_to_open,reversal_cross_back,3.0,03:00-11:30,5.03,65.9,10.9,0.03,0.08,0.02,94.1,92.0,15,500,7.1
6J,2710,5min,opposite_level,reversal_cross_back,3.0,03:00-10:30,5.25,65.2,4.5,0.08,0.05,-0.04,100.0,98.4,16,750,87.5
6J,969,5min,reversal_to_open,reversal_cross_back,1.0,03:00-11:30,5.74,76.0,7.1,0.14,0.04,-0.06,100.0,99.2,17,500,49.6
6J,16753,5min,opposite_level,reversal_cross_back,1.5,03:00-15:00,5.8,76.5,3.6,0.08,-0.01,-0.06,100.0,96.8,23,750,68.6
6J,6313,5min,opposite_level,immediate_break,4.0,03:00-12:30,5.46,55.4,4.0,0.04,0.04,-0.03,100.0,97.6,18,500,90.5
6J,13156,5min,reversal_to_open,reversal_cross_back,1.5,03:00-11:00,4.94,67.3,9.2,0.17,0.05,-0.03,100.0,96.0,23,500,50.0
6J,6244,5min,opposite_level,immediate_break,2.0,05:00-11:30,4.32,66.2,3.9,0.11,0.02,0.03,100.0,97.6,23,750,87.3
