MNQ risk,6E risk,day_stop,OOS pass%,OOS days,OOS p90,full pass%,full days,funded E$ (5 cap),reach 5 payouts%,days to 5th,funded breach%,12m E$ uncapped
0,250,-,98.4,11,18,98.7,10,11784,99.2,51,0.8,82787
0,250,500,98.4,11,19,97.8,11,11647,98.1,53,1.9,79088
0,250,750,98.4,11,18,98.1,10,11692,98.5,51,1.5,81554
0,250,1000,98.4,11,18,98.7,10,11784,99.2,51,0.8,82787
0,375,-,97.6,10,18,98.1,9,11692,98.5,50,1.5,83801
0,375,500,99.2,10,18,97.4,10,11555,97.3,52,2.7,77800
0,375,750,99.2,10,18,97.4,10,11555,97.3,51,2.7,80394
0,375,1000,97.6,10,18,97.8,9,11647,98.1,50,1.9,83244
0,500,-,96.8,9,17,95.8,9,11418,96.2,47,3.8,83426
0,500,500,98.4,11,22,94.9,10,11236,94.6,53,5.4,73972
0,500,750,97.6,10,18,95.8,9,11373,95.8,51,4.2,79855
0,500,1000,96.0,10,17,96.8,9,11555,97.3,50,2.7,83591
0,750,-,95.2,9,17,94.9,9,11281,95.0,47,5.0,82659
0,750,500,97.6,11,22,94.9,10,11236,94.6,53,5.4,72958
0,750,750,97.6,10,18,95.8,10,11373,95.8,51,4.2,78841
0,750,1000,95.2,10,17,95.2,9,11327,95.4,50,4.6,81581
250,0,-,96.8,22,33,98.1,23,11775,98.8,87,1.2,56726
250,0,500,96.8,22,33,98.1,23,11775,98.8,87,1.2,56726
250,0,750,96.8,22,33,98.1,23,11775,98.8,87,1.2,56726
250,0,1000,96.8,22,33,98.1,23,11775,98.8,87,1.2,56726
250,250,-,96.8,8,12,98.4,8,11829,99.6,45,0.4,91072
250,250,500,99.2,9,15,98.7,9,11738,98.8,47,1.2,85189
250,250,750,97.6,8,12,99.0,9,11875,100.0,46,0.0,90150
250,250,1000,97.6,8,12,98.7,8,11829,99.6,45,0.4,91090
250,375,-,94.4,8,12,97.1,9,11692,98.5,45,1.5,90186
250,375,500,99.2,9,16,97.8,9,11601,97.7,50,2.3,83207
250,375,750,97.6,9,15,97.8,9,11692,98.5,46,1.5,87500
250,375,1000,95.2,8,12,97.4,9,11692,98.5,45,1.5,89939
250,500,-,94.4,8,12,96.5,9,11601,97.7,45,2.3,88788
250,500,500,98.4,9,17,96.5,9,11464,96.5,51,3.5,78174
250,500,750,96.8,9,15,97.4,9,11610,97.7,46,2.3,85180
250,500,1000,95.2,8,12,97.1,9,11647,98.1,45,1.9,88332
250,750,-,94.4,8,12,95.2,8,11418,96.2,46,3.8,87080
250,750,500,98.4,10,16,95.8,10,11327,95.4,52,4.6,75689
250,750,750,97.6,9,16,96.8,9,11427,96.2,47,3.8,82212
250,750,1000,95.2,9,12,96.8,9,11564,97.3,46,2.7,86715
375,0,-,96.0,12,24,93.6,15,10898,91.2,68,8.8,60727
375,0,500,96.0,12,24,93.6,15,10898,91.2,68,8.8,60727
375,0,750,96.0,12,24,93.6,15,10898,91.2,68,8.8,60727
375,0,1000,96.0,12,24,93.6,15,10898,91.2,68,8.8,60727
375,250,-,96.8,8,12,98.1,8,11784,99.2,45,0.8,91017
375,250,500,97.6,9,16,98.1,9,11647,98.1,50,1.9,84303
375,250,750,97.6,8,12,98.4,8,11784,99.2,46,0.8,89291
375,250,1000,97.6,8,12,98.1,8,11738,98.8,45,1.2,90314
375,375,-,94.4,8,12,96.2,8,11555,97.3,45,2.7,90204
375,375,500,96.8,9,16,96.5,9,11464,96.5,47,3.5,82623
375,375,750,97.6,8,15,97.8,8,11692,98.5,46,1.5,87957
375,375,1000,96.0,8,12,98.1,8,11784,99.2,45,0.8,91182
375,500,-,94.4,8,11,95.8,8,11510,96.9,45,3.1,89583
375,500,500,96.0,9,17,95.2,9,11281,95.0,51,5.0,77142
375,500,750,97.6,9,16,97.4,9,11610,97.7,46,2.3,85637
375,500,1000,95.2,8,12,97.1,8,11647,98.1,45,1.9,89035
375,750,-,94.4,8,12,95.8,8,11473,96.5,45,3.5,88953
375,750,500,96.0,9,16,94.6,9,11190,94.2,52,5.8,74940
375,750,750,96.0,9,15,96.2,9,11427,96.2,47,3.8,82440
375,750,1000,95.2,9,12,97.1,9,11610,97.7,46,2.3,87610
500,0,-,88.8,9,19,86.9,9,9838,81.9,64,18.1,55721
500,0,500,91.2,9,19,89.4,10,10176,85.0,66,15.0,54716
