MNQ risk,6E risk,day_stop,OOS pass%,OOS days,OOS p90,full pass%,full days,funded E$ (5 cap),reach 5 payouts%,days to 5th,funded breach%,12m E$ uncapped
500,0,750,88.8,9,19,86.9,9,9838,81.9,64,18.1,55721
500,0,1000,88.8,9,19,86.9,9,9838,81.9,64,18.1,55721
500,250,-,96.0,8,12,95.5,8,11464,96.5,45,3.5,87701
500,250,500,96.0,9,16,96.8,9,11519,96.9,50,3.1,82303
500,250,750,96.8,8,12,97.4,8,11692,98.5,47,1.5,87500
500,250,1000,96.8,8,12,96.5,8,11555,97.3,46,2.7,87775
500,375,-,94.4,8,12,93.6,8,11190,94.2,45,5.8,86212
500,375,500,95.2,9,17,95.5,9,11418,96.2,50,3.8,81042
500,375,750,97.6,8,15,96.8,8,11555,97.3,46,2.7,85509
500,375,1000,96.0,8,12,96.2,8,11555,97.3,45,2.7,88039
500,500,-,93.6,9,12,93.9,8,11281,95.0,45,5.0,86925
500,500,500,95.2,9,17,94.6,9,11281,95.0,51,5.0,76420
500,500,750,97.6,9,16,96.8,9,11519,96.9,47,3.1,84066
500,500,1000,95.2,9,12,96.2,9,11555,97.3,46,2.7,87546
500,750,-,93.6,8,15,93.9,8,11245,94.6,45,5.4,87062
500,750,500,94.4,9,17,93.9,9,11099,93.5,52,6.5,73972
500,750,750,96.8,9,16,96.2,9,11427,96.2,47,3.8,82376
500,750,1000,95.2,9,15,96.5,9,11519,96.9,46,3.1,86952
750,0,-,80.8,9,15,77.6,9,8696,72.3,64,27.7,49437
750,0,500,82.4,9,17,78.8,9,8915,74.6,66,25.4,47920
750,0,750,82.4,9,17,78.5,9,8870,74.2,66,25.8,47993
750,0,1000,80.8,9,15,77.6,9,8696,72.3,64,27.7,49437
750,250,-,91.2,8,15,90.1,8,10742,90.4,46,9.6,81125
750,250,500,89.6,9,16,91.0,9,10962,92.3,50,7.7,77233
750,250,750,90.4,8,15,91.3,8,10916,91.9,47,8.1,80439
750,250,1000,92.0,8,15,91.7,8,10962,92.3,46,7.7,82184
750,375,-,89.6,8,12,90.1,8,10779,90.8,45,9.2,82038
750,375,500,93.6,9,18,92.9,9,11062,93.1,50,6.9,77434
750,375,750,94.4,9,16,92.6,8,11007,92.7,47,7.3,80595
750,375,1000,92.0,9,15,92.3,8,11016,92.7,46,7.3,82897
750,500,-,91.2,8,15,91.0,8,10870,91.5,45,8.5,82878
750,500,500,92.0,10,18,92.0,9,10925,91.9,52,8.1,73040
750,500,750,92.8,9,17,92.3,9,10971,92.3,47,7.7,79453
750,500,1000,92.0,9,15,92.6,8,11099,93.5,46,6.5,82924
750,750,-,90.4,8,15,91.7,8,10925,91.9,45,8.1,83737
750,750,500,91.2,9,18,91.3,9,10788,90.8,53,9.2,71241
750,750,750,92.0,9,16,91.7,9,10834,91.2,47,8.8,77781
750,750,1000,91.2,9,15,92.9,8,11062,93.1,46,6.9,82741
