row,tf,tp,conf,rr,sess,lv,pf,corr,same_trades,is_pass,oos_pass,oos_days,risk,capped
23995,5min,reversal_to_open,reversal_cross_back,3.0,03:00-11:30,S,5.47,0.53,0.58,98.9,97.6,18,500,44.5
14696,5min,reversal_to_open,reversal_cross_back,1.5,05:00-10:30,S2,4.21,0.54,0.46,90.4,90.5,17,500,37.6
39344,5min,reversal_to_open,close_beyond,1.0,03:00-10:30,S,5.52,0.54,0.7,93.6,92.9,9,500,43.8
31395,3min,reversal_to_open,reversal_cross_back,2.5,03:00-12:30,S2,4.29,0.56,0.52,93.6,97.6,12,500,35.9
34789,5min,opposite_level,reversal_cross_back,3.0,03:00-10:30,S2,4.36,0.56,0.61,92.0,88.9,9,500,57.2
34127,5min,reversal_to_open,reversal_cross_back,2.0,03:00-12:30,S,4.57,0.57,0.6,96.8,95.2,15,500,53.7
19562,3min,reversal_to_open,reversal_cross_back,4.0,03:00-14:00,S2,4.22,0.57,0.43,97.3,94.4,11,500,29.4
25435,5min,reversal_to_open,reversal_cross_back,1.25,03:00-11:00,S,5.23,0.58,0.55,98.4,96.0,16,500,19.7
2181,5min,reversal_to_open,reversal_cross_back,1.0,03:00-11:30,S,5.57,0.58,0.89,100.0,97.6,15,1250,92.7
38095,5min,reversal_to_open,reversal_cross_back,3.0,03:00-13:00,S2,6.01,0.58,0.59,99.5,96.0,16,500,17.8
23583,5min,reversal_to_open,reversal_cross_back,1.5,03:00-12:30,S,3.75,0.61,0.65,92.5,96.0,15,500,51.3
30861,5min,reversal_to_open,reversal_cross_back,3.0,03:00-11:00,S2,6.45,0.64,0.62,99.5,96.8,15,500,27.5
42186,5min,reversal_to_open,reversal_cross_back,1.0,03:00-11:30,S,6.28,0.67,0.82,100.0,99.2,12,500,32.8
37436,3min,reversal_to_open,reversal_cross_back,1.25,03:00-11:00,S2,5.84,0.68,0.68,96.8,96.0,15,500,34.2
21123,5min,reversal_to_open,reversal_cross_back,2.5,03:00-11:00,S,3.64,0.69,0.98,95.2,96.0,9,500,75.7
8316,5min,reversal_to_open,reversal_cross_back,2.0,03:00-12:30,S2,5.82,0.7,0.81,94.1,96.0,12,500,37.2
40867,5min,reversal_to_open,reversal_cross_back,4.0,03:00-14:00,S,5.54,0.74,1.0,99.5,95.2,15,500,47.4
7070,5min,reversal_to_open,reversal_cross_back,2.5,03:00-13:00,S,5.52,0.77,0.7,96.8,97.6,10,500,40.1
42963,5min,reversal_to_open,reversal_cross_back,3.0,03:00-15:00,S2,5.11,0.88,0.83,92.5,88.9,9,500,35.4
