legs,OOS pass%,OOS days,OOS p90,full pass%,full days,funded E$ (5 cap),reach 5 payouts%,days to 5th,funded breach%,12m E$ uncapped
MGC#7068 $500,98.4,12,25,98.1,16,11692,98.5,60,1.5,71149
MCL#8044 $500,98.4,17,30,99.4,17,11875,100.0,65,0.0,68444
6J#9981 $500,98.4,15,30,99.0,12,11829,99.6,54,0.4,76734
6E#5374 $500 + MCL#16931 $375,99.2,8,12,99.4,8,11829,99.6,43,0.4,98695
MGC#7068 $375 + MCL#16931 $375,98.4,10,18,99.4,10,11875,100.0,50,0.0,86830
6E#12654 $500 + MNQ#362 $250 + MGC#7068 $375,99.2,8,12,99.7,9,11875,100.0,44,0.0,95138
