asset,tf,local_rank,score,min_pf,n_trades,gate2_verdict,pf_is,pf_oos,degradation,plateau_verdict,plateau_frac_healthy,n_cohorts,overall_pass_pct,overall_fail_pct,worst_window_pass_pct,worst_window_start,worst_window_n,fail_reasons,note
GER40,3min,10,47.6838,7.952,401,PASS,8.781,9.059,1.036,PASS,1.0,313,99.4,0.3,87.5,2026-06-29,8,{'daily_loss': 1},
EURUSD,5min,0,60.5216,10.357,344,PASS,5.764,9.648,1.815,PASS,1.0,313,99.7,0.0,87.5,2026-06-29,8,{},
EURUSD,5min,8,47.3706,8.567,251,PASS,5.226,7.316,1.495,PASS,1.0,313,99.0,0.6,87.5,2026-06-29,8,{'daily_loss': 2},
EURUSD,3min,8,45.3077,7.092,594,PASS,5.024,6.001,1.243,PASS,1.0,313,94.6,5.4,86.4,2026-03-23,22,"{'max_loss': 12, 'daily_loss': 5}",
GER40,5min,7,48.0452,7.736,497,PASS,6.924,6.617,0.948,PASS,1.0,313,99.4,0.0,85.7,2026-05-18,14,{},
GER40,5min,9,47.5056,7.195,736,PASS,8.556,7.075,0.804,PASS,1.0,313,98.1,1.3,85.7,2026-05-18,14,{'daily_loss': 4},
GBPUSD,3min,6,43.276,7.263,386,PASS,6.982,7.016,1.006,PASS,1.0,313,98.1,1.3,85.7,2026-05-18,14,{'daily_loss': 4},
XAUUSD,5min,9,33.3916,6.052,248,PASS,4.455,8.148,2.069,PASS,1.0,313,99.4,0.0,85.7,2026-05-18,14,{},
EURUSD,5min,3,53.3343,10.338,173,PASS,5.865,9.852,1.82,PASS,1.0,313,98.7,0.0,85.2,2026-02-16,27,{},
XAUUSD,5min,8,33.557,5.454,469,PASS,3.599,5.499,1.731,PASS,1.0,313,98.1,1.0,85.0,2026-04-06,20,{'daily_loss': 3},
EURUSD,5min,1,55.9318,8.783,582,PASS,5.307,6.991,1.391,PASS,1.0,313,92.3,7.3,75.0,2026-06-29,8,"{'max_loss': 5, 'daily_loss': 18}",
EURUSD,3min,7,45.4142,7.31,498,PASS,4.175,6.005,1.576,PASS,1.0,313,93.0,6.7,75.0,2026-06-29,8,"{'daily_loss': 6, 'max_loss': 15}",
NDX100,5min,0,52.6673,7.4,1232,PASS,5.342,6.448,1.255,PASS,1.0,313,86.3,13.7,73.7,2026-04-13,19,{'daily_loss': 43},
