size,assets,labels,avg_pairwise_corr,risk_multiplier_k,pass_pct,still_going_pct,median_days_to_pass,n_cohorts,per_asset_risk_pct,margin_cap_frac,n_trades_total,n_trades_rejected,pct_trades_rejected
2,GBPUSD+NDX100,NDX100/3min ss=180 (local_rank=0) | GBPUSD/3min ss=180 (local_rank=7),0.034,0.1525,47.4,0.6,18,312,"{'NDX100': 4.98, 'GBPUSD': 2.688}",0.8,2304,1152,50.0
2,NDX100+US30,NDX100/3min ss=180 (local_rank=0) | US30/5min ss=180 (local_rank=4),0.228,0.1197,50.8,1.0,15,313,"{'NDX100': 3.908, 'US30': 2.281}",0.8,4147,2329,56.2
2,EURUSD+NDX100,NDX100/3min ss=180 (local_rank=0) | EURUSD/5min ss=300 (local_rank=6),0.012,0.0901,49.2,0.6,11,313,"{'NDX100': 2.942, 'EURUSD': 4.727}",0.8,4800,2137,44.5
2,NDX100+US30,NDX100/3min ss=180 (local_rank=0) | US30/5min ss=420 (local_rank=9),-0.01,0.1247,47.6,1.0,15,313,"{'NDX100': 4.071, 'US30': 2.366}",0.8,3513,1749,49.8
2,NDX100+XAUUSD,NDX100/3min ss=180 (local_rank=0) | XAUUSD/5min ss=180 (local_rank=6),0.008,0.1089,50.8,0.3,12,313,"{'NDX100': 3.557, 'XAUUSD': 5.944}",0.8,5089,2856,56.1
2,NDX100+NDX100,NDX100/3min ss=180 (local_rank=0) | NDX100/3min ss=420 (local_rank=6),-0.017,0.0723,47.9,0.3,11,313,{'NDX100': 1.024},0.8,4325,870,20.1
2,NDX100+US30,NDX100/3min ss=180 (local_rank=0) | US30/1min ss=300 (local_rank=3),0.048,0.1405,51.1,1.0,19,313,"{'NDX100': 4.586, 'US30': 0.542}",0.8,2286,805,35.2
2,GBPUSD+NDX100,NDX100/3min ss=180 (local_rank=0) | GBPUSD/1min ss=300 (local_rank=6),0.009,0.1227,52.4,0.3,11,313,"{'NDX100': 4.005, 'GBPUSD': 0.991}",0.8,5063,1827,36.1
2,NDX100+XAUUSD,NDX100/3min ss=180 (local_rank=0) | XAUUSD/1min ss=300 (local_rank=6),-0.008,0.1436,50.8,1.0,19,313,"{'NDX100': 4.688, 'XAUUSD': 1.625}",0.8,3466,1797,51.8
2,NDX100+XAUUSD,NDX100/3min ss=180 (local_rank=0) | XAUUSD/1min ss=420 (local_rank=5),0.017,0.1089,47.3,0.3,15,313,"{'NDX100': 3.556, 'XAUUSD': 1.173}",0.8,4429,1363,30.8
