pool_row,asset,tf,tp_mode,search_score,search_pf,n_trades,split,is_pass_500,is_days_500,is_pass_750,is_days_750,is_pass_1000,is_days_1000,is_pass_1250,is_days_1250,is_pass_1500,is_days_1500,best_risk,is_pass,is_days_med,is_cohorts,oos_pass,oos_fail,oos_days_med,oos_days_p90,oos_cohorts,full_pass,full_days_med,target_raised%,capped%,avg_contracts
5770,FDXM,5min,opposite_level,61.5188,8.939,2675,2024-03-28,100.0,10,100.0,10,100.0,9,97.3,9,95.7,9,1000,100.0,9,188,94.4,5.6,9,17,125,97.8,9,94.9,34.3,3.4
4990,FDXM,5min,opposite_level,56.2336,9.82,2409,2024-03-28,99.5,11,100.0,11,97.9,11,97.3,10,95.7,10,750,100.0,11,188,96.8,3.2,10,17,125,98.7,11,97.1,28.7,3.1
4566,FDXM,5min,opposite_level,53.9041,12.472,1527,2024-03-28,97.9,25,94.7,25,89.9,24,89.4,23,89.4,23,500,97.9,25,188,95.2,2.4,29,58,125,96.8,25,97.1,13.9,2.3
3430,FDXM,5min,opposite_level,47.4376,9.211,2829,2024-03-28,100.0,9,99.5,8,98.9,8,96.3,8,95.2,8,500,100.0,9,188,99.2,0.8,9,17,125,99.7,9,88.8,13.9,2.4
16514,FDXM,5min,reversal_to_open,47.1648,6.221,5901,2024-03-28,97.3,18,89.9,17,84.6,17,79.3,17,79.3,17,500,97.3,18,188,96.8,2.4,15,26,125,97.1,17,94.9,6.4,2.0
19906,FDXM,3min,opposite_level,45.602,6.404,3630,2024-03-28,95.7,10,94.1,10,88.3,9,86.7,9,86.7,10,500,95.7,10,188,88.0,10.4,10,23,125,92.7,10,92.0,23.5,2.9
20850,FDXM,5min,opposite_level,44.5333,6.609,3112,2024-03-28,98.4,12,97.9,11,95.7,11,94.1,11,93.6,11,500,98.4,12,188,97.6,2.4,12,23,125,98.1,12,94.2,28.6,2.9
19214,FDXM,5min,reversal_to_open,44.2619,7.573,3050,2024-03-28,93.1,23,89.9,19,84.0,18,82.4,17,81.9,17,500,93.1,23,188,92.0,6.4,18,36,125,92.7,22,93.6,8.6,2.2
398,FDXM,5min,opposite_level,42.5609,5.83,6003,2024-03-28,95.7,9,93.6,9,92.0,9,89.4,9,88.8,9,500,95.7,9,188,91.2,8.8,11,18,125,93.9,9,94.2,20.9,2.7
1006,FDXM,3min,reversal_to_open,42.2678,6.888,3503,2024-03-28,93.6,23,87.2,19,80.3,17,78.7,17,79.3,17,500,93.6,23,188,92.0,5.6,18,32,125,93.0,19,91.7,11.5,2.3
45438,FDXM,5min,opposite_level,42.2539,6.989,3591,2024-03-28,96.8,10,95.7,9,92.6,9,91.0,9,90.4,9,500,96.8,10,188,92.8,7.2,10,22,125,95.2,10,94.9,28.7,3.0
19350,FDXM,5min,opposite_level,42.0923,7.775,1214,2024-03-28,99.5,18,99.5,17,98.4,15,97.3,12,96.3,12,750,99.5,17,188,98.4,0.0,12,24,125,99.0,15,78.6,23.2,2.8
32494,FDXM,5min,reversal_to_open,42.0762,5.973,3445,2024-03-28,98.4,12,97.9,11,94.7,10,93.1,10,91.5,10,500,98.4,12,188,96.8,3.2,11,19,125,97.8,11,91.1,28.4,3.1
34158,FDXM,5min,reversal_to_open,41.9398,6.267,2710,2024-03-28,92.6,26,86.7,25,84.6,25,83.5,24,83.0,24,500,92.6,26,188,91.2,4.8,25,59,125,92.0,25,86.6,1.3,1.8
