pool_row,asset,tf,tp_mode,search_score,search_pf,n_trades,split,is_pass_500,is_days_500,is_pass_750,is_days_750,is_pass_1000,is_days_1000,is_pass_1250,is_days_1250,is_pass_1500,is_days_1500,best_risk,is_pass,is_days_med,is_cohorts,oos_pass,oos_fail,oos_days_med,oos_days_p90,oos_cohorts,full_pass,full_days_med,target_raised%,capped%,avg_contracts
1667,MNQ,5min,reversal_to_open,23.4931,3.308,3648,2024-04-22,75.4,23,66.3,19,63.6,18,62.0,18,63.1,18,500,75.4,23,187,76.2,20.6,19,46,126,75.7,23,81.8,10.5,20.8
6259,MNQ,3min,reversal_to_open,23.4623,4.109,2464,2024-04-22,64.7,32,60.4,30,58.8,29,58.3,29,58.3,26,500,64.7,32,187,57.1,39.7,33,72,126,61.7,32,72.2,41.9,36.4
3327,MNQ,3min,opposite_level,23.436,4.057,1241,2024-04-22,85.0,24,78.6,24,71.7,24,69.5,23,69.0,23,500,85.0,24,187,71.4,25.4,30,66,126,79.6,25,86.9,3.7,21.3
1939,MNQ,5min,reversal_to_open,23.3942,4.001,1194,2024-04-22,97.3,31,92.5,25,86.1,24,78.6,23,76.5,24,500,97.3,31,187,96.8,0.0,32,53,126,97.1,31,62.9,0.2,9.6
2623,6E,3min,opposite_level,23.3903,3.937,2127,2024-04-29,92.5,17,89.3,16,86.1,16,85.6,15,85.6,15,500,92.5,17,187,93.7,4.8,18,38,126,93.0,17,85.6,43.8,38.6
17599,6E,3min,reversal_to_open,23.365,3.593,3578,2024-04-29,81.3,25,79.7,22,78.1,22,76.5,19,76.5,19,500,81.3,25,187,77.0,17.5,19,43,126,79.6,22,83.7,44.6,40.4
23015,6E,3min,opposite_level,23.2645,4.147,1867,2024-04-29,86.6,31,81.8,25,82.9,29,82.9,25,82.9,25,500,86.6,31,187,72.2,22.2,52,99,126,80.8,37,79.6,43.4,39.4
26423,6E,5min,reversal_to_open,23.2308,4.497,1223,2024-04-29,100.0,44,97.3,38,96.2,38,94.1,38,93.0,38,500,100.0,44,186,91.3,4.0,47,103,126,96.5,45,80.8,29.4,34.8
35759,MNQ,5min,reversal_to_open,23.2064,4.387,1053,2024-04-22,95.2,39,91.4,37,88.2,36,84.0,36,81.8,32,500,95.2,39,187,96.8,0.0,39,67,126,95.8,39,76.0,0.0,6.8
32263,MNQ,5min,opposite_level,23.1801,4.239,1818,2024-04-22,70.6,54,65.8,51,58.8,47,56.1,50,55.1,47,500,70.6,54,187,68.3,27.8,47,92,126,69.6,53,80.2,0.1,9.2
36727,6E,5min,opposite_level,23.1262,3.61,3695,2024-04-29,84.0,16,80.7,15,79.7,15,79.7,15,79.7,15,500,84.0,16,187,87.3,11.9,15,33,126,85.3,15,87.9,64.2,44.8
