asset,entry_timeframe,atr_window,include_secondary_levels,include_session_levels,allow_level_rearm,confirmation_mode,close_beyond_lookback_bars,wick_atr_mult,reversal_lookback_bars,reversal_requires_close,bos_lookback_bars,bos_mode,bos_confirm_atr_mult,require_rsi_confirm,rsi_period,rsi_mode,rsi_ob,rsi_os,sl_atr_buffer_mult,sl_extend_to_next_level,sl_extend_check_atr_mult,tp_mode,rr,session_start_minutes,session_end_minutes,max_trades_per_day,skip_weekday,n_trades,win_rate_pct,profit_factor,total_r,expectancy_r,max_dd_r,eod_frac,avg_profit_factor,min_profit_factor,periods_evaluated,periods_passed,consistency,calmar,score,period_pfs
MNQ,3min,30,True,False,False,break_of_structure,2,1.0,1,True,30,raw_wick,0.0,False,14,cross_50,75,35,1.0,True,1.5,reversal_to_open,3.0,570,660,2,0,402,16.67,0.198,-92.67,-0.2305,92.61,0.107,0.204,0.133,5,0,0.0,-1.001,0.0,"[0.31, 0.234, 0.133, 0.206, 0.137]"
6E,3min,14,False,True,False,immediate_break,5,1.0,3,True,5,fractal,0.1,False,21,cross_50,65,20,0.75,True,2.0,fixed_rr,1.25,180,960,999,3,3029,63.45,1.581,755.55,0.2494,24.27,0.0231,1.609,1.296,5,5,1.0,31.131,10.3891,"[1.617, 1.296, 2.022, 1.72, 1.392]"
6E,3min,20,True,True,True,reversal_cross_back,1,2.0,1,False,5,raw_wick,0.2,False,14,cross_50,70,25,0.5,False,1.0,reversal_to_open,4.0,180,780,3,-1,2779,35.7,2.547,3637.2,1.3088,35.23,0.0,2.583,2.043,5,5,1.0,103.242,16.2014,"[2.861, 2.168, 2.958, 2.884, 2.043]"
MNQ,5min,30,True,False,False,reversal_cross_back,5,0.75,20,True,5,fractal,0.5,False,14,overbought_oversold,75,35,0.75,False,2.0,reversal_to_open,1.5,180,840,1,2,624,61.38,3.018,405.0,0.649,8.83,0.0401,3.093,2.232,5,5,1.0,45.866,14.3691,"[2.232, 3.334, 2.814, 2.333, 4.754]"
6E,3min,30,True,False,False,reversal_cross_back,5,1.0,3,False,13,fractal,0.2,True,7,overbought_oversold,75,35,0.2,True,0.5,opposite_level,2.0,300,630,5,0,406,22.91,1.29,139.05,0.3425,52.66,0.1502,1.293,0.945,5,4,0.8,2.641,4.5427,"[1.419, 1.274, 0.945, 1.675, 1.15]"
MNQ,5min,20,True,False,True,reversal_cross_back,1,1.0,13,True,8,fractal,0.1,False,7,overbought_oversold,80,35,0.5,True,2.0,reversal_to_open,2.5,570,780,1,3,598,35.62,0.546,-119.82,-0.2004,119.84,0.0936,0.557,0.438,5,0,0.0,-1.0,0.0,"[0.438, 0.704, 0.447, 0.591, 0.603]"
MNQ,3min,30,False,False,False,close_beyond,5,0.75,1,False,30,fractal,0.1,False,14,cross_50,65,35,0.5,True,1.5,opposite_level,4.0,300,960,999,1,622,19.77,1.261,148.14,0.2382,43.83,0.0531,1.26,1.056,5,5,1.0,3.38,6.7949,"[1.095, 1.268, 1.392, 1.488, 1.056]"
MNQ,3min,30,False,True,True,immediate_break,2,1.5,5,True,5,fractal,0.2,False,21,overbought_oversold,80,25,0.5,False,1.0,fixed_rr,1.0,570,780,3,0,2082,43.23,0.649,-448.05,-0.2152,449.34,0.0067,0.649,0.626,5,0,0.0,-0.997,0.0,"[0.654, 0.626, 0.631, 0.659, 0.676]"
6E,3min,20,True,False,True,break_of_structure,5,0.75,20,False,3,raw_wick,0.3,False,14,overbought_oversold,80,30,0.75,False,1.5,opposite_level,2.0,180,630,1,0,537,45.25,2.239,374.3,0.697,12.64,0.324,2.262,1.792,5,5,1.0,29.612,11.2678,"[2.803, 2.788, 1.832, 1.792, 2.094]"
MNQ,3min,14,True,False,True,break_of_structure,1,2.0,5,True,13,raw_wick,0.0,True,7,cross_50,65,20,0.5,True,1.5,reversal_to_open,4.0,420,780,2,1,690,46.38,1.851,177.33,0.257,14.26,0.0971,1.934,1.076,5,5,1.0,12.435,7.035,"[2.028, 1.455, 2.824, 1.076, 2.288]"
FDXM,5min,20,True,True,True,reversal_cross_back,1,1.5,2,False,5,fractal,0.3,False,7,cross_50,65,35,0.3,True,2.0,reversal_to_open,1.0,570,840,3,0,1933,31.51,0.543,-548.1,-0.2835,546.96,0.0543,0.539,0.414,5,0,0.0,-1.002,0.0,"[0.571, 0.51, 0.563, 0.414, 0.639]"
FDXM,3min,30,True,True,False,reversal_cross_back,5,2.0,3,False,8,raw_wick,0.1,True,14,overbought_oversold,75,30,0.5,True,2.0,fixed_rr,1.5,300,840,999,2,554,46.39,0.976,-8.25,-0.0149,41.72,0.0415,0.994,0.707,5,2,0.4,-0.198,1.787,"[1.259, 1.083, 0.93, 0.993, 0.707]"
MNQ,3min,14,False,False,True,immediate_break,5,0.75,13,True,20,raw_wick,0.2,False,21,overbought_oversold,70,35,0.5,False,1.0,fixed_rr,2.0,420,690,2,3,974,43.12,1.224,135.67,0.1393,33.74,0.0441,1.236,1.018,5,5,1.0,4.021,7.0063,"[1.237, 1.332, 1.446, 1.018, 1.149]"
FDXM,3min,20,True,True,True,break_of_structure,5,2.0,2,False,5,fractal,0.0,False,21,cross_50,75,35,0.1,False,2.0,opposite_level,3.0,180,840,3,3,2066,51.4,3.534,3162.03,1.5305,24.45,0.0644,3.542,3.237,5,5,1.0,129.326,24.7108,"[3.793, 3.66, 3.406, 3.613, 3.237]"
FDXM,3min,14,False,False,True,reversal_cross_back,2,1.5,1,False,3,fractal,0.3,False,14,cross_50,80,30,0.5,True,1.5,reversal_to_open,1.0,180,900,1,2,579,39.9,2.509,590.97,1.0207,14.67,0.0017,2.51,1.793,5,5,1.0,40.284,11.4089,"[2.848, 1.793, 2.383, 2.905, 2.621]"
MNQ,5min,20,True,True,True,reversal_cross_back,2,2.0,2,False,3,fractal,0.0,True,21,cross_50,80,30,0.5,True,1.0,opposite_level,1.0,420,750,999,-1,502,60.16,1.316,57.97,0.1155,16.92,0.1235,1.307,1.121,5,5,1.0,3.426,6.9733,"[1.185, 1.294, 1.726, 1.121, 1.207]"
6E,5min,14,False,True,True,immediate_break,5,1.0,3,True,13,raw_wick,0.5,False,14,overbought_oversold,80,20,0.2,True,0.5,reversal_to_open,1.5,300,660,1,0,733,36.02,2.417,948.47,1.294,29.64,0.0068,2.431,1.671,5,5,1.0,32.0,11.0261,"[1.812, 3.312, 2.713, 1.671, 2.646]"
FDXM,3min,14,False,False,True,immediate_break,3,2.0,5,False,3,raw_wick,0.2,False,14,overbought_oversold,80,30,0.1,True,0.5,fixed_rr,3.0,420,900,2,4,834,32.49,0.711,-267.46,-0.3207,275.92,0.012,0.726,0.564,5,0,0.0,-0.969,0.0,"[0.939, 0.721, 0.754, 0.654, 0.564]"
6E,5min,14,True,False,True,reversal_cross_back,2,1.0,8,False,13,fractal,0.1,False,7,cross_50,70,30,0.5,True,2.0,fixed_rr,1.25,570,750,3,3,1274,42.23,0.659,-263.58,-0.2069,263.38,0.1633,0.663,0.528,5,0,0.0,-1.001,0.0,"[0.528, 0.724, 0.674, 0.77, 0.621]"
6E,5min,30,True,False,True,break_of_structure,5,1.0,3,True,30,fractal,0.5,False,21,cross_50,80,35,0.5,True,1.0,opposite_level,3.0,300,840,3,2,1405,49.89,1.772,468.83,0.3337,30.35,0.3637,1.818,1.295,5,5,1.0,15.447,9.3868,"[2.061, 2.253, 1.295, 1.815, 1.668]"
MNQ,5min,30,False,True,False,break_of_structure,3,2.0,2,False,8,raw_wick,0.3,False,7,overbought_oversold,75,35,0.75,True,1.0,fixed_rr,1.0,300,840,999,1,1244,63.99,1.778,311.33,0.2503,14.78,0.1487,1.783,1.698,5,5,1.0,21.064,12.1015,"[1.884, 1.868, 1.698, 1.749, 1.715]"
MNQ,5min,14,True,True,False,immediate_break,2,0.75,3,False,5,raw_wick,0.5,False,7,overbought_oversold,80,25,1.0,False,1.0,opposite_level,1.25,420,840,3,-1,2689,41.76,2.702,2837.38,1.0552,33.19,0.0428,2.711,2.259,5,5,1.0,85.489,17.84,"[3.018, 2.6, 2.259, 3.04, 2.637]"
MNQ,3min,14,True,True,True,reversal_cross_back,2,2.0,8,True,8,fractal,0.2,False,21,overbought_oversold,80,35,0.2,True,1.5,opposite_level,2.5,300,750,2,4,1477,38.12,2.293,1358.65,0.9199,26.49,0.0264,2.295,2.183,5,5,1.0,51.289,15.9325,"[2.338, 2.191, 2.383, 2.379, 2.183]"
MNQ,5min,30,True,True,False,break_of_structure,1,0.75,2,False,3,raw_wick,0.5,False,14,cross_50,80,35,0.75,False,1.0,fixed_rr,1.0,570,690,3,4,595,48.57,0.915,-21.76,-0.0366,32.44,0.2756,0.945,0.675,5,3,0.6,-0.671,2.588,"[1.093, 0.675, 1.143, 0.806, 1.009]"
MNQ,3min,14,True,False,True,reversal_cross_back,5,2.0,3,False,8,raw_wick,0.5,False,14,cross_50,80,25,0.3,False,2.0,reversal_to_open,1.0,570,630,2,2,975,22.97,0.574,-301.75,-0.3095,320.72,0.0718,0.574,0.514,5,0,0.0,-0.941,0.0,"[0.648, 0.651, 0.52, 0.514, 0.536]"
6E,5min,14,False,True,True,break_of_structure,5,0.75,20,True,13,fractal,0.1,False,7,cross_50,70,25,1.0,False,1.0,opposite_level,1.25,300,690,999,-1,4118,65.3,2.699,1933.23,0.4695,30.76,0.2921,2.695,2.117,5,5,1.0,62.849,17.6206,"[2.117, 3.239, 2.702, 2.552, 2.863]"
FDXM,5min,20,False,True,True,immediate_break,2,0.75,13,False,8,fractal,0.1,False,7,cross_50,65,30,0.3,True,0.5,reversal_to_open,3.0,180,780,5,2,3603,43.57,4.134,7386.9,2.0502,31.78,0.0031,4.171,3.263,5,5,1.0,232.439,26.7233,"[4.883, 4.974, 3.283, 4.453, 3.263]"
MNQ,5min,30,True,True,True,reversal_cross_back,5,0.5,3,True,5,fractal,0.3,True,7,cross_50,65,30,0.1,False,1.0,reversal_to_open,2.0,180,780,2,1,1023,44.87,2.479,566.21,0.5535,18.98,0.0332,2.491,1.981,5,5,1.0,29.832,13.7312,"[2.945, 2.9, 2.523, 2.106, 1.981]"
FDXM,3min,20,True,True,False,immediate_break,2,1.5,20,False,8,raw_wick,0.3,False,21,cross_50,70,20,0.1,True,1.5,fixed_rr,2.0,420,960,1,1,719,44.65,0.824,-111.12,-0.1545,114.62,0.007,0.833,0.696,5,1,0.2,-0.969,0.9158,"[0.899, 0.696, 0.74, 1.014, 0.814]"
6E,5min,14,False,True,True,break_of_structure,1,1.5,1,True,3,fractal,0.0,False,14,cross_50,80,25,0.75,False,1.5,reversal_to_open,1.5,570,780,3,0,424,14.62,0.147,-137.91,-0.3253,137.38,0.1108,0.147,0.127,5,0,0.0,-1.004,0.0,"[0.127, 0.143, 0.177, 0.129, 0.161]"
MNQ,5min,14,False,False,True,reversal_cross_back,1,0.5,8,True,20,raw_wick,0.1,False,14,cross_50,75,25,0.2,False,0.5,fixed_rr,2.0,570,690,2,4,665,32.48,0.713,-123.25,-0.1853,132.33,0.2316,0.724,0.474,5,0,0.0,-0.931,0.0,"[0.863, 0.693, 0.909, 0.474, 0.681]"
FDXM,3min,30,False,True,False,reversal_cross_back,5,1.0,13,True,13,fractal,0.3,False,7,cross_50,65,25,0.75,True,1.0,fixed_rr,1.5,420,960,5,0,1549,50.94,1.277,221.09,0.1427,26.32,0.093,1.277,1.094,5,5,1.0,8.4,8.0365,"[1.223, 1.094, 1.27, 1.313, 1.484]"
MNQ,3min,30,True,True,True,reversal_cross_back,5,0.5,20,False,5,fractal,0.1,False,14,cross_50,70,25,0.5,True,2.0,fixed_rr,2.5,420,660,1,1,738,46.07,1.73,321.96,0.4363,14.2,0.0474,1.742,1.557,5,5,1.0,22.673,10.2844,"[2.13, 1.646, 1.557, 1.609, 1.768]"
6E,5min,30,True,True,False,immediate_break,3,0.75,5,False,13,fractal,0.3,False,21,cross_50,70,35,0.5,True,0.5,opposite_level,2.0,570,840,1,2,688,35.17,0.73,-138.67,-0.2016,143.23,0.0741,0.745,0.523,5,1,0.2,-0.968,0.6836,"[0.67, 0.775, 0.523, 1.085, 0.672]"
