pool_row,asset,tf,tp_mode,search_score,search_pf,n_trades,split,is_pass_500,is_days_500,is_pass_750,is_days_750,is_pass_1000,is_days_1000,is_pass_1250,is_days_1250,is_pass_1500,is_days_1500,best_risk,is_pass,is_days_med,is_cohorts,oos_pass,oos_fail,oos_days_med,oos_days_p90,oos_cohorts,full_pass,full_days_med,target_raised%,capped%,avg_contracts
10628,FDXM,5min,opposite_level,61.7204,11.726,1665,2024-03-28,94.1,24,91.0,24,87.8,23,86.7,22,87.2,22,500,94.1,24,188,94.4,4.8,24,44,125,94.2,24,90.4,6.3,1.9
45300,FDXM,5min,opposite_level,57.7242,14.439,1340,2024-03-28,97.9,31,95.2,29,90.4,25,89.9,25,89.9,24,500,97.9,31,188,94.4,4.0,32,66,125,96.5,31,95.2,12.1,2.2
34592,FDXM,5min,opposite_level,51.0143,9.796,2543,2024-03-28,97.3,18,91.0,17,90.4,16,89.4,16,90.4,16,500,97.3,18,188,92.8,5.6,17,31,125,95.5,17,92.0,5.9,1.7
12540,FDXM,5min,reversal_to_open,49.4943,6.301,5959,2024-03-28,94.7,16,87.8,16,85.6,15,81.4,15,80.3,15,500,94.7,16,188,95.2,3.2,12,26,125,94.9,15,94.2,4.5,1.8
10304,FDXM,3min,reversal_to_open,47.7915,7.549,2382,2024-03-28,98.4,19,96.3,17,94.1,17,87.8,16,86.7,16,500,98.4,19,188,95.2,3.2,17,29,125,97.1,18,94.2,14.7,2.5
4396,FDXM,3min,opposite_level,47.3931,9.703,2128,2024-03-28,94.1,24,88.8,22,84.6,19,83.0,18,83.5,18,500,94.1,24,188,96.0,3.2,22,57,125,94.9,24,91.1,14.9,2.6
43636,FDXM,5min,reversal_to_open,47.1518,7.118,3626,2024-03-28,93.1,15,88.8,15,84.6,15,84.0,12,84.0,12,500,93.1,15,188,92.8,5.6,12,26,125,93.0,15,91.4,20.0,2.8
35812,FDXM,5min,opposite_level,45.3309,7.63,2422,2024-03-28,100.0,12,97.9,11,98.9,11,96.8,11,96.8,11,500,100.0,12,188,96.0,4.0,11,24,125,98.4,11,90.4,12.5,2.4
31164,FDXM,3min,opposite_level,45.151,8.097,1864,2024-03-28,96.8,22,93.6,18,93.6,18,92.0,17,91.0,15,500,96.8,22,188,95.2,2.4,19,39,125,96.2,19,87.5,14.4,2.2
40092,FDXM,5min,opposite_level,43.8471,8.045,1126,2024-03-28,100.0,18,99.5,16,98.9,15,98.9,15,97.3,11,500,100.0,18,188,96.8,0.0,17,30,125,98.7,17,61.0,7.8,2.1
