pool_row,asset,tf,tp_mode,search_score,search_pf,n_trades,split,is_pass_500,is_days_500,is_pass_750,is_days_750,is_pass_1000,is_days_1000,is_pass_1250,is_days_1250,is_pass_1500,is_days_1500,best_risk,is_pass,is_days_med,is_cohorts,oos_pass,oos_fail,oos_days_med,oos_days_p90,oos_cohorts,full_pass,full_days_med,target_raised%,capped%,avg_contracts
21249,MGCT,3min,fixed_rr,1.8443,0.924,1163,2024-04-30,16.5,59,12.2,36,13.3,60,11.7,60,10.6,59,500,16.5,59,188,20.0,76.0,50,85,125,17.9,52,33.2,1.3,16.5
32455,MGCT,3min,fixed_rr,1.7687,0.92,920,2024-04-30,13.8,43,15.4,23,13.8,24,9.6,24,9.6,24,750,15.4,23,188,20.8,77.6,29,58,125,17.6,24,47.3,6.8,24.1
14587,MGCT,5min,fixed_rr,1.7607,0.879,1568,2024-04-30,21.3,73,16.0,38,16.0,33,14.9,33,16.0,38,500,21.3,73,188,12.0,86.4,30,47,125,17.6,49,13.4,0.4,12.0
8899,MGCT,3min,opposite_level,1.7141,1.014,779,2024-04-30,17.0,119,23.4,81,25.5,74,23.4,67,23.9,53,1000,25.5,74,188,0.0,96.8,,,125,15.3,74,28.4,8.0,20.9
8417,MGCT,5min,opposite_level,1.6732,0.873,759,2024-04-30,1.6,148,3.7,122,5.9,54,5.3,45,3.7,31,1000,5.9,54,188,12.9,83.1,52,617,124,8.7,52,37.8,29.4,30.7
7465,MGCT,5min,fixed_rr,1.6671,0.858,1268,2024-04-30,10.6,56,11.2,37,11.2,31,10.6,35,10.6,35,1000,11.2,31,188,11.2,88.0,37,93,125,11.2,35,39.0,10.3,24.1
23369,MGCT,5min,fixed_rr,1.577,0.897,987,2024-04-30,9.0,65,2.1,23,2.7,16,2.7,10,2.7,10,500,9.0,65,188,21.8,71.8,108,198,124,14.1,94,35.3,0.6,12.4
28617,MGCT,5min,opposite_level,1.5734,0.887,761,2024-04-30,22.3,145,15.4,58,17.6,50,19.1,50,19.1,46,500,22.3,145,188,16.0,73.6,86,135,125,19.8,107,5.4,2.8,18.2
3293,MGCT,5min,opposite_level,1.5656,0.794,966,2024-04-30,1.6,88,2.1,94,3.7,39,4.3,74,6.4,63,1500,6.4,63,188,4.0,94.4,17,85,125,5.4,56,35.1,71.2,43.6
17171,MGCT,3min,opposite_level,1.5153,0.829,2725,2024-04-30,6.9,37,8.5,71,9.0,38,9.0,32,9.0,31,1500,9.0,31,188,1.6,98.4,9,9,125,6.1,30,32.9,63.0,41.1
16901,MGCT,5min,fixed_rr,1.4957,0.758,2078,2024-04-30,2.1,23,2.1,23,2.1,23,2.7,23,3.2,24,1500,3.2,24,188,10.4,87.2,47,80,125,6.1,33,39.9,19.0,28.6
6955,MGCT,5min,opposite_level,1.4947,0.823,2006,2024-04-30,13.3,33,10.6,23,10.1,17,9.0,26,8.5,28,500,13.3,33,188,10.4,88.8,18,112,125,12.1,31,30.7,22.9,29.0
25769,MGCT,5min,reversal_to_open,1.4933,0.777,1274,2024-04-30,10.6,101,9.6,87,7.4,66,8.0,52,6.9,38,500,10.6,101,188,7.2,89.6,30,89,125,9.3,73,23.3,24.1,28.0
8349,MGCT,3min,opposite_level,1.4875,0.905,736,2024-04-30,3.7,105,2.1,112,2.1,72,2.1,72,2.7,17,500,3.7,105,188,0.0,98.4,,,125,2.2,105,42.2,20.8,25.8
4183,MGCT,3min,opposite_level,1.4849,0.868,957,2024-04-30,9.6,38,8.0,44,9.0,51,7.4,52,8.0,57,500,9.6,38,188,2.4,90.4,18,73,125,6.7,37,37.7,21.0,29.1
14605,MGCT,5min,opposite_level,1.4657,0.823,823,2024-04-30,1.1,91,3.2,84,4.8,49,5.3,42,6.9,49,1500,6.9,49,188,5.6,93.6,24,67,125,6.4,49,34.8,64.4,41.4
7597,MGCT,5min,opposite_level,1.4633,0.867,1020,2024-04-30,6.4,42,9.0,66,9.0,45,8.0,56,8.0,57,1000,9.0,45,188,1.6,96.8,12,12,125,6.1,43,38.3,47.6,36.9
23913,MGCT,3min,opposite_level,1.4423,0.836,986,2024-04-30,6.4,47,7.4,32,8.0,51,9.6,54,9.6,54,1250,9.6,54,188,2.4,94.4,92,108,125,6.7,54,35.8,67.0,42.0
13141,MGCT,5min,opposite_level,1.4329,0.832,1152,2024-04-30,4.3,45,4.8,38,4.3,38,4.3,35,4.8,35,1500,4.8,35,188,1.6,96.0,9,9,125,3.5,35,36.4,78.0,45.0
12111,MGCT,5min,opposite_level,1.4184,0.895,654,2024-04-30,19.1,175,18.6,107,17.6,61,25.5,67,27.1,67,1500,27.1,67,188,4.9,87.0,44,88,123,18.3,61,37.3,30.1,32.1
16337,MGCT,5min,opposite_level,1.4048,0.848,1109,2024-04-30,5.3,45,4.8,73,4.8,66,5.9,66,5.9,66,1250,5.9,66,188,2.4,96.8,66,85,125,4.5,66,36.7,58.9,40.5
14249,MGCT,5min,opposite_level,1.3731,0.852,869,2024-04-30,12.2,65,9.0,56,6.4,42,8.0,44,8.0,44,500,12.2,65,188,3.2,94.4,261,268,125,8.6,65,30.7,30.4,29.6
10999,MGCT,5min,fixed_rr,1.3642,0.788,953,2024-04-30,14.4,127,13.3,85,13.8,85,9.0,61,8.0,61,500,14.4,127,188,12.8,84.0,107,142,125,13.7,117,33.5,2.1,16.9
2871,MGCT,3min,fixed_rr,1.35,0.841,968,2024-04-30,8.6,114,9.1,71,8.6,137,10.2,151,9.1,151,1250,10.2,151,187,21.6,76.0,22,80,125,14.7,36,42.0,46.8,37.1
26067,MGCT,5min,opposite_level,1.349,0.731,2223,2024-04-30,8.0,86,6.9,65,6.4,65,5.9,58,5.9,58,500,8.0,86,188,5.6,94.4,29,45,125,7.0,51,32.3,6.3,21.0
2065,MGCT,3min,fixed_rr,1.3342,0.809,920,2024-04-30,11.9,82,15.7,73,17.8,71,14.1,64,15.1,57,1000,17.8,71,185,8.1,91.1,29,57,124,13.9,57,45.6,15.5,26.5
5589,MGCT,3min,fixed_rr,1.3307,0.779,830,2024-04-30,5.3,68,8.5,56,13.8,52,16.0,52,11.7,45,1250,16.0,52,188,10.4,88.8,36,71,125,13.7,45,43.1,23.4,29.1
6133,MGCT,5min,opposite_level,1.33,0.831,1341,2024-04-30,2.7,51,9.6,45,12.2,38,10.1,37,10.6,37,1000,12.2,38,188,14.4,84.0,29,190,125,13.1,32,31.0,14.1,26.0
4713,MGCT,3min,opposite_level,1.3011,0.835,786,2024-04-30,14.9,87,13.3,85,13.3,78,12.8,71,12.2,38,500,14.9,87,188,11.3,85.5,79,198,124,13.5,85,26.6,6.5,19.2
26553,MGCT,3min,fixed_rr,1.2667,0.812,747,2024-04-30,2.7,58,5.3,63,6.4,58,7.0,51,5.9,37,1250,7.0,51,187,2.4,97.6,115,128,124,5.1,93,41.5,25.7,29.3
32035,MGCT,3min,opposite_level,1.2598,0.79,690,2024-04-30,3.2,77,4.3,141,4.8,74,4.8,74,4.8,70,1500,4.8,70,188,4.8,89.6,155,171,125,4.8,141,31.6,78.4,45.1
6369,MGCT,5min,fixed_rr,1.2573,0.913,764,2024-04-30,17.0,78,14.9,54,16.0,61,11.7,54,11.2,54,500,17.0,78,188,23.2,73.6,93,317,125,19.5,82,24.3,1.3,9.6
10539,MGCT,5min,opposite_level,1.254,0.875,775,2024-04-30,1.1,66,9.6,108,9.0,73,6.4,81,9.6,59,1500,9.6,59,188,4.0,95.2,25,36,125,7.3,45,36.7,44.5,35.4
31025,MGCT,3min,opposite_level,1.2465,0.877,1143,2024-04-30,6.4,43,8.0,29,7.4,36,9.6,47,10.1,49,1500,10.1,49,188,4.8,95.2,39,52,124,8.0,47,37.2,71.6,43.7
11895,MGCT,3min,opposite_level,1.2461,0.778,1956,2024-04-30,5.9,71,4.8,36,3.7,22,3.7,22,3.7,29,500,5.9,71,188,3.2,96.0,17,28,124,4.8,57,31.7,21.3,28.0
