pool_row,asset,tf,tp_mode,search_score,search_pf,n_trades,split,is_pass_500,is_days_500,is_pass_750,is_days_750,is_pass_1000,is_days_1000,is_pass_1250,is_days_1250,is_pass_1500,is_days_1500,best_risk,is_pass,is_days_med,is_cohorts,oos_pass,oos_fail,oos_days_med,oos_days_p90,oos_cohorts,full_pass,full_days_med,target_raised%,capped%,avg_contracts
18451,6E,5min,reversal_to_open,3.8189,1.099,1217,2024-04-29,5.9,289,6.4,26,4.8,234,2.7,24,2.1,24,750,6.4,26,187,8.7,86.5,207,235,126,7.3,193,33.9,90.8,48.6
29747,6E,3min,reversal_to_open,3.7654,1.067,2162,2024-04-29,17.1,26,15.5,32,13.4,32,13.4,32,13.9,32,500,17.1,26,187,7.1,88.9,54,75,126,13.1,32,41.9,53.7,41.6
23579,6E,3min,reversal_to_open,3.6608,1.122,658,2024-04-29,13.9,71,11.8,54,13.9,68,13.9,68,13.9,54,1500,13.9,54,187,0.8,93.7,33,33,126,8.6,53,36.4,97.6,49.8
20435,6E,5min,opposite_level,3.528,0.983,1880,2024-04-29,19.3,47,15.5,29,12.8,22,13.4,23,13.4,23,500,19.3,47,187,3.2,93.7,37,43,126,12.8,43,24.3,13.9,29.1
1189,6E,3min,opposite_level,3.4678,1.185,765,2024-04-29,0.0,,0.0,,0.0,,0.0,,0.0,,500,0.0,,187,1.6,92.1,50,50,126,0.6,50,39.3,89.7,48.2
20885,6E,5min,reversal_to_open,3.4478,1.027,1316,2024-04-29,17.1,81,16.6,81,17.1,81,17.1,81,17.1,81,500,17.1,81,187,2.4,91.3,25,32,126,11.2,80,27.2,82.8,47.2
15689,6E,5min,reversal_to_open,3.4039,1.035,1037,2024-04-29,20.9,58,20.9,58,20.3,58,20.3,60,18.7,51,500,20.9,58,187,16.7,77.8,73,123,126,19.2,66,26.2,68.9,45.7
9459,6E,3min,fixed_rr,3.3809,0.999,748,2024-04-29,13.9,79,12.8,58,11.8,51,13.9,51,13.9,52,1250,13.9,51,187,6.4,88.0,73,486,125,10.9,52,40.4,78.1,46.4
28525,6E,5min,opposite_level,3.3676,0.999,1173,2024-04-29,10.2,71,10.7,51,12.8,47,12.8,43,12.3,40,1250,12.8,43,187,4.0,92.9,65,85,126,9.3,43,25.2,82.9,47.4
12559,6E,3min,opposite_level,3.2776,1.088,821,2024-04-29,19.8,754,10.7,61,9.1,59,9.1,43,9.1,43,500,19.8,754,187,11.2,84.0,64,87,125,16.3,337,37.5,56.9,42.2
