pool_row,asset,tf,tp_mode,search_score,search_pf,n_trades,split,is_pass_500,is_days_500,is_pass_750,is_days_750,is_pass_1000,is_days_1000,is_pass_1250,is_days_1250,is_pass_1500,is_days_1500,best_risk,is_pass,is_days_med,is_cohorts,oos_pass,oos_fail,oos_days_med,oos_days_p90,oos_cohorts,full_pass,full_days_med,target_raised%,capped%,avg_contracts
32831,MNQ,5min,opposite_level,6.2845,1.05,745,2024-04-22,9.6,745,7.5,204,8.6,79,8.6,65,8.6,50,500,9.6,745,187,42.1,38.9,212,331,126,22.7,247,23.6,0.0,3.8
23637,MNQ,3min,opposite_level,6.2388,1.18,698,2024-04-22,48.7,130,31.0,107,21.4,86,16.0,73,15.0,74,500,48.7,130,187,11.1,84.1,87,115,126,33.5,120,47.9,0.3,7.5
36635,MNQ,3min,opposite_level,6.1019,1.01,7441,2024-04-22,12.8,15,11.2,10,9.6,10,8.6,17,8.0,10,500,12.8,15,187,1.6,96.0,15,15,126,8.3,15,41.2,0.1,8.5
15621,MNQ,5min,opposite_level,5.3081,1.056,1444,2024-04-22,10.7,93,8.6,82,7.0,67,7.0,61,6.4,67,500,10.7,93,187,8.7,86.5,52,95,126,9.9,72,37.4,0.0,6.2
33925,MNQ,3min,opposite_level,5.2249,1.173,1311,2024-04-22,9.1,102,11.2,200,9.1,193,8.6,152,7.0,148,750,11.2,200,187,3.2,96.0,68,74,126,8.0,186,38.0,21.2,29.8
10031,MNQ,3min,opposite_level,5.0329,1.043,1716,2024-04-22,8.6,33,7.0,32,7.0,32,5.9,30,6.4,30,500,8.6,33,187,5.6,93.7,58,92,126,7.3,36,39.9,0.9,14.5
31719,MNQ,3min,opposite_level,5.0298,1.101,1132,2024-04-22,2.1,239,3.7,46,3.2,54,3.2,57,3.2,60,750,3.7,46,187,0.0,98.4,,,126,2.2,46,33.5,25.7,30.6
10721,MNQ,5min,fixed_rr,5.0294,1.001,2381,2024-04-22,18.2,38,14.4,22,15.0,17,16.0,12,15.5,12,500,18.2,38,187,2.4,96.0,16,43,125,11.9,38,19.6,0.0,5.4
28365,MNQ,5min,fixed_rr,5.0007,1.058,1643,2024-04-22,18.7,37,18.2,26,20.9,25,18.2,19,18.2,18,1000,20.9,25,187,12.7,84.1,25,95,126,17.6,25,32.9,0.1,6.2
13119,MNQ,5min,opposite_level,4.9929,1.099,929,2024-04-22,8.0,96,9.1,46,12.3,33,13.9,33,13.4,26,1250,13.9,33,187,11.1,82.5,43,64,126,12.8,39,28.8,1.7,12.5
26899,MNQ,5min,opposite_level,4.9647,1.091,1863,2024-04-22,23.5,78,20.3,43,16.6,33,17.1,18,17.1,22,500,23.5,78,187,4.8,89.7,58,113,126,16.0,78,17.9,0.0,3.5
22813,MNQ,3min,opposite_level,4.9633,1.084,1535,2024-04-22,18.2,99,18.2,78,19.8,39,21.4,32,20.9,31,1250,21.4,32,187,15.9,76.2,29,87,126,19.2,32,38.3,2.0,9.5
20395,MNQ,5min,fixed_rr,4.9281,1.047,1973,2024-04-22,15.0,50,12.3,38,13.4,30,13.4,19,12.8,19,500,15.0,50,187,26.2,68.3,32,75,126,19.5,45,24.6,0.7,4.0
2529,MNQ,5min,opposite_level,4.9226,1.136,754,2024-04-22,18.7,159,13.9,44,15.0,36,16.6,33,16.6,29,500,18.7,159,187,0.0,97.6,,,126,11.2,159,20.4,0.0,4.3
10535,MNQ,3min,fixed_rr,4.7486,1.056,1234,2024-04-22,17.6,45,13.9,47,10.7,50,8.6,47,9.1,47,500,17.6,45,187,23.0,73.8,33,71,126,19.8,38,45.7,0.2,10.2
22127,MNQ,3min,fixed_rr,4.712,0.978,2388,2024-04-22,19.3,29,15.0,22,13.4,22,10.7,22,10.2,22,500,19.3,29,187,7.1,92.1,24,46,126,14.4,24,40.6,1.0,15.7
4829,MNQ,5min,opposite_level,4.6693,1.17,837,2024-04-22,27.8,85,22.5,85,18.7,71,17.6,71,15.0,68,500,27.8,85,187,2.4,93.7,66,73,126,17.6,80,26.2,0.0,5.7
2047,MNQ,5min,fixed_rr,4.6322,1.054,5397,2024-04-22,18.7,15,14.4,11,12.8,11,11.2,11,10.7,10,500,18.7,15,187,9.5,88.9,23,72,126,15.0,15,42.8,0.1,6.7
12033,MNQ,3min,opposite_level,4.5776,1.114,1222,2024-04-22,8.0,131,11.2,75,13.9,51,13.9,39,16.0,32,1500,16.0,32,187,7.1,92.1,44,58,126,12.5,32,29.4,2.2,11.0
