pool_row,asset,tf,tp_mode,search_score,search_pf,n_trades,split,is_pass_500,is_days_500,is_pass_750,is_days_750,is_pass_1000,is_days_1000,is_pass_1250,is_days_1250,is_pass_1500,is_days_1500,best_risk,is_pass,is_days_med,is_cohorts,oos_pass,oos_fail,oos_days_med,oos_days_p90,oos_cohorts,full_pass,full_days_med,target_raised%,capped%,avg_contracts
1999,MCL,5min,fixed_rr,8.0564,1.124,4467,2024-04-29,14.4,17,14.4,17,13.4,15,11.8,15,10.2,15,500,14.4,17,187,13.5,86.5,25,51,126,14.1,18,41.5,0.2,11.4
2449,MCL,5min,opposite_level,7.3128,1.168,2131,2024-04-29,15.0,58,12.3,59,11.2,59,8.6,51,8.6,51,500,15.0,58,187,3.2,96.0,72,115,126,10.2,58,38.7,1.3,19.7
12997,MCL,3min,opposite_level,7.0864,1.093,1711,2024-04-29,20.9,66,14.4,47,12.8,50,8.6,61,6.4,61,500,20.9,66,187,3.2,90.5,113,120,126,13.7,73,36.7,1.3,19.2
10989,MCL,3min,opposite_level,5.381,1.104,3176,2024-04-29,5.9,131,5.9,117,5.3,107,6.4,96,7.0,58,1500,7.0,58,187,0.8,99.2,5,5,126,4.5,58,25.9,75.9,46.6
16539,MCL,3min,fixed_rr,4.8157,1.225,831,2024-04-29,17.1,116,17.1,128,14.4,130,13.4,107,10.7,100,500,17.1,116,187,5.6,76.8,123,151,125,12.5,116,27.2,0.1,11.2
18001,MCL,5min,fixed_rr,4.6822,1.071,1509,2024-04-29,15.0,54,13.9,47,15.0,47,11.2,38,10.2,38,1000,15.0,47,187,24.0,72.0,39,71,125,18.6,43,45.2,3.2,20.5
16963,MCL,5min,fixed_rr,4.6806,1.043,696,2024-04-29,34.2,143,32.6,65,26.2,53,25.7,46,23.0,37,500,34.2,143,187,15.1,80.2,87,144,126,26.5,121,8.9,0.0,11.3
2733,MCL,3min,opposite_level,4.5698,1.225,644,2024-04-29,29.9,57,26.2,50,25.7,50,23.5,46,23.5,46,500,29.9,57,187,14.3,76.2,99,229,126,23.6,68,46.0,12.0,30.3
11071,MCL,3min,opposite_level,4.5319,1.067,861,2024-04-29,18.7,96,16.6,89,13.9,68,14.4,81,14.4,75,500,18.7,96,187,3.2,86.5,190,204,126,12.5,100,45.0,6.4,25.4
5877,MCL,5min,opposite_level,4.4872,1.228,671,2024-04-29,34.1,130,24.3,64,21.1,44,17.8,32,17.3,31,500,34.1,130,185,3.2,77.6,107,115,125,21.6,121,30.3,0.0,9.4
9399,MCL,5min,opposite_level,4.487,1.086,2622,2024-04-29,10.7,51,9.6,30,7.0,22,4.8,22,5.9,22,500,10.7,51,187,5.6,91.3,31,85,126,8.6,43,36.4,0.1,10.4
11307,MCL,3min,opposite_level,4.424,1.058,868,2024-04-29,20.3,68,25.1,53,21.4,47,17.6,46,17.1,40,750,25.1,53,187,4.8,86.4,116,130,125,17.0,53,32.4,1.5,17.3
5721,MCL,3min,opposite_level,4.3963,1.081,861,2024-04-29,25.1,57,21.4,53,20.3,52,17.1,44,17.1,44,500,25.1,57,187,1.6,86.5,31,31,126,15.7,53,42.2,6.4,25.3
11873,MCL,3min,fixed_rr,4.3913,1.04,1442,2024-04-29,21.9,45,17.6,25,17.1,29,13.4,25,12.3,23,500,21.9,45,187,8.0,80.0,38,120,125,16.3,43,44.9,2.4,18.6
7789,MCL,3min,fixed_rr,4.1562,1.058,5612,2024-04-29,9.6,15,8.6,15,8.6,17,6.4,18,7.0,18,500,9.6,15,187,9.5,89.7,22,45,126,9.6,17,39.6,0.6,16.0
15711,MCL,3min,fixed_rr,4.1552,1.304,605,2024-04-29,29.9,89,25.7,68,22.5,65,19.8,54,23.0,68,500,29.9,89,187,24.8,69.6,86,137,125,27.9,87,41.0,1.5,16.1
831,MCL,3min,opposite_level,4.0695,1.048,2471,2024-04-29,6.4,43,5.9,24,9.1,38,9.6,43,9.1,39,1250,9.6,43,187,1.6,96.8,44,44,126,6.4,43,33.5,69.7,44.8
1863,MCL,5min,opposite_level,4.0684,0.987,7071,2024-04-29,4.3,100,3.7,10,3.2,17,3.2,89,3.7,45,500,4.3,100,187,0.8,99.2,3,3,126,2.9,17,25.6,5.8,24.3
12237,MCL,5min,fixed_rr,3.9616,1.051,2796,2024-04-29,13.9,40,13.4,38,11.2,33,8.6,59,8.0,40,500,13.9,40,187,16.7,81.0,31,44,126,15.0,33,41.5,0.4,14.7
17459,MCL,5min,opposite_level,3.8664,1.11,1575,2024-04-29,8.6,276,7.5,276,6.4,274,4.3,67,3.7,22,500,8.6,276,187,1.6,97.6,30,30,126,5.8,275,39.3,0.1,13.2
