pool_row,asset,tf,tp_mode,search_score,search_pf,n_trades,split,is_pass_500,is_days_500,is_pass_750,is_days_750,is_pass_1000,is_days_1000,is_pass_1250,is_days_1250,is_pass_1500,is_days_1500,best_risk,is_pass,is_days_med,is_cohorts,oos_pass,oos_fail,oos_days_med,oos_days_p90,oos_cohorts,full_pass,full_days_med,target_raised%,capped%,avg_contracts
6007,MGC,5min,opposite_level,23.7769,3.739,4419,2024-04-30,69.1,16,62.8,16,60.1,16,54.3,12,54.3,12,500,69.1,16,188,78.4,19.2,15,37,125,72.8,15,78.0,3.8,20.1
9715,MGC,5min,opposite_level,23.7502,3.823,2419,2024-04-30,86.7,19,71.3,16,67.0,16,56.4,15,54.8,15,500,86.7,19,188,80.0,18.4,24,50,125,84.0,22,82.7,0.2,10.7
12503,MGC,5min,opposite_level,23.7448,3.928,1543,2024-04-30,85.6,24,82.4,23,80.3,23,79.3,22,78.7,22,500,85.6,24,188,83.2,13.6,19,50,125,84.7,23,90.1,35.2,34.4
7243,MGC,5min,reversal_to_open,23.6975,3.173,6081,2024-04-30,58.0,24,54.8,19,54.8,19,54.8,19,54.8,19,500,58.0,24,188,60.0,37.6,22,50,125,58.8,24,68.7,42.6,35.7
4299,MGC,3min,reversal_to_open,23.6903,3.773,5784,2024-04-30,84.0,18,76.6,17,72.3,17,71.8,15,71.8,15,500,84.0,18,188,88.0,10.4,17,57,125,85.6,18,83.4,0.5,11.4
13701,MGC,3min,reversal_to_open,23.6427,4.137,3537,2024-04-30,67.0,24,64.4,24,64.4,23,64.4,23,63.8,23,500,67.0,24,188,70.4,28.0,24,52,125,68.4,24,75.7,42.4,36.2
12969,MGC,3min,opposite_level,23.6299,3.297,6127,2024-04-30,63.8,12,60.6,12,60.6,12,57.4,11,58.5,11,500,63.8,12,188,67.2,31.2,16,30,125,65.2,12,72.8,4.7,19.3
1877,MGC,5min,reversal_to_open,23.6191,3.634,5004,2024-04-30,71.8,32,62.8,32,58.5,29,54.8,26,53.7,29,500,71.8,32,188,67.2,28.0,29,65,125,70.0,30,79.6,6.5,14.6
20929,MGC,5min,reversal_to_open,23.6029,4.433,2929,2024-04-30,78.7,24,72.3,22,72.3,19,68.6,19,69.1,19,500,78.7,24,188,74.4,23.2,26,75,125,77.0,25,82.7,1.6,17.6
1869,MGC,5min,opposite_level,23.5956,5.311,1698,2024-04-30,83.5,40,75.0,36,68.6,32,67.6,32,67.6,31,500,83.5,40,188,94.4,4.8,29,54,125,87.9,33,92.3,1.4,10.4
123,MGC,3min,opposite_level,23.5817,3.819,2975,2024-04-30,81.4,23,72.3,22,67.6,19,63.8,19,64.4,17,500,81.4,23,188,83.2,12.0,19,37,125,82.1,22,86.3,2.1,15.2
22345,MGC,3min,reversal_to_open,23.5761,4.089,1228,2024-04-30,90.4,31,84.0,26,83.5,25,80.9,25,78.2,24,500,90.4,31,188,93.6,4.0,26,52,125,91.7,29,90.7,3.8,21.0
3727,MGC,3min,reversal_to_open,23.5374,3.975,3706,2024-04-30,67.0,29,60.6,23,59.0,22,58.5,22,58.5,22,500,67.0,29,188,76.0,22.4,19,46,125,70.6,23,77.6,23.8,29.5
17225,MGC,5min,reversal_to_open,23.522,3.283,6103,2024-04-30,53.2,19,50.0,19,47.9,18,48.9,18,50.5,18,500,53.2,19,188,66.4,32.8,18,37,125,58.5,18,67.4,7.6,23.6
