asset,entry_timeframe,atr_window,include_secondary_levels,include_session_levels,allow_level_rearm,confirmation_mode,close_beyond_lookback_bars,wick_atr_mult,reversal_lookback_bars,reversal_requires_close,bos_lookback_bars,bos_mode,bos_confirm_atr_mult,require_rsi_confirm,rsi_period,rsi_mode,rsi_ob,rsi_os,sl_atr_buffer_mult,sl_extend_to_next_level,sl_extend_check_atr_mult,tp_mode,rr,session_start_minutes,session_end_minutes,max_trades_per_day,skip_weekday,n_trades,win_rate_pct,profit_factor,total_r,expectancy_r,max_dd_r,eod_frac,avg_profit_factor,min_profit_factor,periods_evaluated,periods_passed,consistency,calmar,score,period_pfs
MGC,5min,30,False,True,True,break_of_structure,1,0.5,1,True,13,raw_wick,0.5,False,14,cross_50,80,30,0.1,True,1.5,opposite_level,2.5,420,630,1,2,690,57.83,2.248,344.45,0.4992,11.97,0.2681,2.372,1.225,5,5,1.0,28.776,8.0092,"[2.947, 2.245, 2.051, 3.394, 1.225]"
MGC,5min,14,False,False,False,reversal_cross_back,1,0.75,13,True,13,fractal,0.0,False,14,overbought_oversold,70,35,0.1,False,1.5,fixed_rr,4.0,420,750,3,3,437,40.73,1.473,130.47,0.2986,19.32,0.3135,1.54,0.985,5,4,0.8,6.753,4.7928,"[2.182, 1.401, 0.985, 2.13, 1.001]"
MGC,5min,14,True,False,True,close_beyond,2,1.0,5,True,5,fractal,0.2,True,21,overbought_oversold,65,30,0.2,True,0.5,fixed_rr,3.0,300,900,999,0,490,27.35,0.719,-131.93,-0.2692,154.14,0.0388,0.741,0.484,5,1,0.2,-0.856,0.5998,"[1.02, 0.867, 0.484, 0.532, 0.804]"
MGC,5min,14,True,True,False,break_of_structure,5,1.0,1,True,8,fractal,0.1,False,14,cross_50,65,25,0.1,False,0.5,opposite_level,3.0,420,630,2,2,651,54.07,2.054,375.52,0.5768,28.16,0.1828,2.051,1.207,5,5,1.0,13.335,7.8214,"[2.262, 2.469, 1.207, 2.872, 1.444]"
MGC,3min,20,True,True,False,reversal_cross_back,2,2.0,13,True,8,fractal,0.3,True,14,overbought_oversold,80,35,0.5,False,1.0,opposite_level,1.5,300,960,5,0,546,36.45,1.24,95.59,0.1751,32.32,0.1227,1.254,0.887,5,4,0.8,2.958,4.4736,"[1.627, 0.887, 1.123, 1.316, 1.319]"
MGC,5min,20,True,True,True,close_beyond,2,1.0,13,False,30,raw_wick,0.1,False,7,overbought_oversold,80,35,0.75,False,1.0,fixed_rr,1.25,420,960,1,-1,923,56.88,1.067,33.45,0.0362,25.27,0.0011,1.069,0.979,5,4,0.8,1.324,5.3482,"[1.104, 1.082, 1.155, 1.024, 0.979]"
MGC,3min,20,True,True,True,close_beyond,3,0.5,3,False,13,raw_wick,0.3,False,21,overbought_oversold,65,25,0.1,False,1.5,reversal_to_open,3.0,300,750,1,3,735,19.86,1.51,651.59,0.8865,111.12,0.0014,1.489,1.133,5,5,1.0,5.864,7.4792,"[1.133, 1.807, 1.337, 1.322, 1.847]"
MGC,5min,20,True,False,True,break_of_structure,1,0.75,1,True,20,raw_wick,0.3,False,14,overbought_oversold,70,25,0.5,False,1.5,fixed_rr,1.0,300,690,999,1,2497,59.11,1.455,354.89,0.1421,25.41,0.3108,1.459,1.328,5,5,1.0,13.967,10.3893,"[1.591, 1.351, 1.557, 1.328, 1.468]"
MGC,5min,20,True,False,False,immediate_break,2,1.5,3,True,13,raw_wick,0.2,False,14,cross_50,65,20,1.0,False,1.0,opposite_level,1.5,180,960,1,3,699,33.48,2.075,585.97,0.8383,19.47,0.1245,2.083,1.745,5,5,1.0,30.096,11.4316,"[1.866, 2.012, 1.745, 2.079, 2.712]"
MGC,3min,14,True,False,True,reversal_cross_back,3,1.5,13,True,20,fractal,0.5,False,7,cross_50,65,25,0.2,True,2.0,opposite_level,2.5,180,780,999,3,5828,32.72,1.414,1937.66,0.3325,267.45,0.1911,1.417,1.117,5,5,1.0,7.245,9.6851,"[1.56, 1.393, 1.117, 1.635, 1.38]"
MGC,5min,30,True,True,True,close_beyond,2,1.5,8,False,5,raw_wick,0.5,False,14,overbought_oversold,75,35,0.1,True,0.5,reversal_to_open,4.0,180,630,3,-1,2726,28.69,2.295,4664.95,1.7113,100.87,0.0048,2.292,1.65,5,5,1.0,46.247,13.0531,"[1.65, 2.56, 2.434, 2.081, 2.737]"
MGC,3min,14,True,True,True,immediate_break,5,1.5,3,True,8,raw_wick,0.1,False,21,overbought_oversold,80,20,1.0,False,0.5,opposite_level,1.0,300,960,5,1,3683,39.34,2.531,4218.92,1.1455,50.09,0.047,2.536,2.312,5,5,1.0,84.227,18.9856,"[2.632, 2.757, 2.596, 2.384, 2.312]"
MGC,5min,30,True,True,True,close_beyond,3,1.0,2,False,5,raw_wick,0.0,False,7,overbought_oversold,70,25,0.75,True,1.0,fixed_rr,3.0,300,690,1,-1,919,48.31,2.17,645.19,0.7021,11.91,0.0577,2.175,1.992,5,5,1.0,54.172,13.5942,"[2.05, 2.215, 2.231, 2.388, 1.992]"
MGC,5min,14,True,True,True,immediate_break,3,0.75,20,False,3,fractal,0.5,False,21,overbought_oversold,65,35,1.0,True,1.0,fixed_rr,1.5,300,660,999,2,10315,56.08,1.598,2443.23,0.2369,70.92,0.2703,1.612,1.301,5,5,1.0,34.451,12.0231,"[1.851, 1.524, 1.634, 1.752, 1.301]"
MGC,5min,30,False,False,True,break_of_structure,3,0.5,3,True,5,fractal,0.1,False,7,overbought_oversold,70,30,0.5,True,1.0,reversal_to_open,1.0,180,900,2,1,583,43.57,2.471,418.71,0.7182,18.53,0.0257,2.501,1.905,5,5,1.0,22.596,12.1347,"[2.683, 1.905, 2.61, 2.51, 2.799]"
MGC,3min,14,False,False,False,close_beyond,5,1.5,1,True,8,fractal,0.3,False,14,cross_50,70,35,0.5,False,1.5,reversal_to_open,1.0,300,900,5,0,492,30.49,2.482,674.22,1.3704,29.2,0.0264,2.481,1.591,5,5,1.0,23.09,9.865,"[2.536, 2.882, 1.591, 2.09, 3.305]"
MGC,3min,14,True,False,False,close_beyond,3,1.5,3,True,20,fractal,0.2,False,21,overbought_oversold,75,25,0.3,False,1.0,fixed_rr,4.0,300,900,999,3,1022,29.75,0.993,-7.11,-0.007,104.3,0.0215,1.018,0.791,5,2,0.4,-0.068,2.1928,"[1.368, 0.915, 0.993, 0.791, 1.025]"
MGC,3min,14,True,True,True,break_of_structure,3,0.5,20,False,3,fractal,0.3,False,7,cross_50,75,30,0.5,True,0.5,opposite_level,1.0,570,690,999,-1,491,49.08,0.803,-37.17,-0.0757,65.07,0.3401,0.901,0.469,5,1,0.2,-0.571,0.5814,"[0.663, 0.911, 0.469, 0.502, 1.962]"
MGC,5min,30,True,True,True,close_beyond,1,0.5,13,True,5,raw_wick,0.3,False,7,cross_50,80,20,0.75,False,1.0,fixed_rr,1.25,300,960,5,3,3578,58.69,1.192,347.56,0.0971,55.07,0.002,1.197,1.025,5,5,1.0,6.311,8.3874,"[1.231, 1.215, 1.319, 1.193, 1.025]"
MGC,3min,20,False,True,False,immediate_break,3,1.0,5,False,3,fractal,0.3,True,7,overbought_oversold,75,30,0.5,True,1.5,fixed_rr,2.5,300,900,999,0,1380,41.38,1.231,225.13,0.1631,50.09,0.0667,1.248,0.965,5,4,0.8,4.495,5.582,"[1.405, 1.205, 1.401, 1.263, 0.965]"
MGC,5min,14,False,False,True,reversal_cross_back,5,2.0,1,False,3,fractal,0.5,False,7,cross_50,75,30,1.0,True,0.5,opposite_level,1.0,570,750,2,2,663,39.82,0.73,-104.52,-0.1576,122.19,0.3077,0.749,0.472,5,1,0.2,-0.855,0.6134,"[1.104, 0.472, 0.655, 0.743, 0.773]"
MGC,3min,20,False,True,False,reversal_cross_back,5,0.5,20,True,8,fractal,0.2,False,14,overbought_oversold,65,25,0.2,False,0.5,fixed_rr,2.5,300,900,5,0,1884,40.5,1.166,214.7,0.114,37.42,0.1205,1.171,1.06,5,5,1.0,5.738,7.9942,"[1.324, 1.175, 1.175, 1.123, 1.06]"
MGC,3min,20,False,True,False,immediate_break,3,1.5,5,False,30,fractal,0.2,True,14,overbought_oversold,75,35,1.0,False,1.5,reversal_to_open,4.0,180,660,1,2,437,47.83,2.069,263.46,0.6029,13.12,0.0549,2.118,1.334,5,5,1.0,20.081,8.1137,"[2.724, 2.836, 2.269, 1.426, 1.334]"
MGC,5min,30,True,False,False,immediate_break,3,0.5,13,False,13,raw_wick,0.0,False,7,cross_50,75,30,0.2,False,1.5,opposite_level,1.25,570,900,2,1,850,22.71,0.784,-179.11,-0.2107,203.19,0.1388,0.784,0.649,5,0,0.0,-0.881,0.0,"[0.828, 0.649, 0.747, 0.936, 0.762]"
MGC,5min,14,False,True,True,break_of_structure,2,1.5,5,True,13,raw_wick,0.1,False,14,cross_50,80,25,0.3,True,2.0,opposite_level,2.0,300,750,2,-1,1783,60.91,2.981,1406.83,0.789,12.96,0.1531,3.023,2.508,5,5,1.0,108.552,18.7764,"[3.666, 2.737, 3.441, 2.763, 2.508]"
MGC,5min,14,True,False,True,immediate_break,1,0.75,8,True,13,fractal,0.5,True,7,overbought_oversold,75,35,0.5,False,1.0,reversal_to_open,1.5,570,630,999,2,384,33.85,0.659,-80.55,-0.2098,89.26,0.2578,0.682,0.365,5,0,0.0,-0.902,0.0,"[0.839, 0.826, 0.365, 0.574, 0.805]"
MGC,3min,14,False,True,False,immediate_break,5,0.75,1,False,8,raw_wick,0.1,True,7,overbought_oversold,65,35,0.2,True,0.5,reversal_to_open,1.0,180,900,3,-1,1872,32.85,1.669,1224.8,0.6543,64.22,0.0251,1.707,1.121,5,5,1.0,19.072,8.4471,"[2.179, 1.573, 2.1, 1.561, 1.121]"
